frame,Use (Freehand 1),Value (Freehand 1),StdDev (Freehand 1)
0,117.2556011,97.73769868,117.2556011
1,86.93764856,76.44473352,86.93764856
2,57.12412618,61.78870968,57.12412618
3,28.17785914,53.87303622,28.17785914
4,-7.528618143,49.60916859,-7.528618143
5,-42.61645475,49.95492964,-42.61645475
6,-74.96611294,55.43749912,-74.96611294
7,-102.915084,61.47360071,-102.915084
8,-128.2167353,67.33227303,-128.2167353
9,-151.5724,71.78955175,-151.5724
10,-173.3546225,75.11905198,-173.3546225
11,-192.1713794,78.05536012,-192.1713794
12,-210.5901362,78.3392451,-210.5901362
13,-225.7983764,79.16068125,-225.7983764
14,-238.7967969,79.41181872,-238.7967969
15,-250.5940617,78.12376136,-250.5940617
16,-259.7059361,78.13373153,-259.7059361
17,-269.5198246,74.70691899,-269.5198246
18,-277.7059523,72.02888121,-277.7059523
19,-285.1055086,69.6670497,-285.1055086
20,-292.0671064,66.82878144,-292.0671064
21,-298.0502797,63.84067977,-298.0502797
22,-301.8377714,62.9323276,-301.8377714
23,-304.7093745,60.9372958,-304.7093745
24,-307.044905,56.76923174,-307.044905
25,-307.8240935,53.63712654,-307.8240935
26,-307.4407046,49.05998103,-307.4407046
27,-305.1211407,45.94970432,-305.1211407
28,-301.9637628,41.56373439,-301.9637628
29,-296.3299394,38.11940259,-296.3299394
30,-288.2888641,39.00792337,-288.2888641
31,-279.6313688,39.30476264,-279.6313688
32,-269.77043,39.22653099,-269.77043
33,-257.4712823,42.19760617,-257.4712823
34,-245.1159499,41.01585758,-245.1159499
35,-230.8358142,41.7187968,-230.8358142
36,-215.2147543,42.50202832,-215.2147543
37,-198.8773523,41.49914544,-198.8773523
38,-181.3413337,40.40081523,-181.3413337
39,-162.3836373,37.89748187,-162.3836373
40,-141.2691678,35.1369311,-141.2691678
41,-119.5208777,31.65389795,-119.5208777
42,-96.40553159,28.46388906,-96.40553159
43,-72.34270749,23.95747441,-72.34270749
44,-47.82408109,19.45997744,-47.82408109
45,-23.13340121,15.6654584,-23.13340121
46,3.007806647,14.25126927,3.007806647
47,30.60439216,17.18772904,30.60439216
48,57.94307613,23.44006459,57.94307613
49,86.81342242,32.47804789,86.81342242
50,118.1808033,43.51941722,118.1808033
51,149.7206716,56.73378124,149.7206716
52,180.8654401,70.43133443,180.8654401
53,215.011074,86.0957164,215.011074
54,248.6066821,103.5532323,248.6066821
55,282.1852826,123.8173827,282.1852826
56,319.9011664,148.6732427,319.9011664
57,328.1018106,177.3933619,328.1018106
58,367.1233903,207.1074223,367.1233903
59,395.6397354,214.7794496,395.6397354
60,328.1628851,222.4071696,328.1628851
61,238.3700189,207.9265116,238.3700189
62,200.2173166,187.0159161,200.2173166
63,143.9269301,125.0135807,143.9269301
