frame,Use (Freehand 1),Value (Freehand 1),StdDev (Freehand 1)
0,402.7743052,305.8430063,402.7743052
1,386.3481985,274.502728,386.3481985
2,374.3775842,249.2522182,374.3775842
3,358.4247709,223.431543,358.4247709
4,338.4983458,196.4880244,338.4983458
5,314.4410607,173.9374804,314.4410607
6,295.1120291,150.9013424,295.1120291
7,274.2731273,133.6388742,274.2731273
8,256.6689523,118.486608,256.6689523
9,241.8398806,104.8678914,241.8398806
10,227.4359745,93.43090269,227.4359745
11,213.5834271,85.29786955,213.5834271
12,202.79211,76.36373602,202.79211
13,192.6103221,68.74678326,192.6103221
14,183.7532413,63.03796018,183.7532413
15,177.0311951,58.11367123,177.0311951
16,171.8100639,54.08513123,171.8100639
17,166.9806888,50.87084804,166.9806888
18,162.9363836,46.41961701,162.9363836
19,158.268777,42.39984445,158.268777
20,153.2876289,39.36410235,153.2876289
21,149.4528711,36.65595174,149.4528711
22,147.4006674,34.50732741,147.4006674
23,147.2528163,33.11329792,147.2528163
24,148.3658333,32.65094725,148.3658333
25,150.5898807,31.75441551,150.5898807
26,154.1090397,30.21165686,154.1090397
27,158.5861615,29.40566384,158.5861615
28,164.0151047,28.88524819,164.0151047
29,171.5712711,28.19402516,171.5712711
30,180.6063956,25.29474639,180.6063956
31,188.8637679,27.43619466,188.8637679
32,198.279689,30.31734227,198.279689
33,209.5672615,33.41363887,209.5672615
34,222.250554,37.2602782,222.250554
35,236.1974215,39.99997136,236.1974215
36,249.8640195,44.81461643,249.8640195
37,264.9821161,48.32168665,264.9821161
38,281.2747798,53.98412913,281.2747798
39,300.0885707,58.98924411,300.0885707
40,319.1035093,66.50579075,319.1035093
41,338.0009925,76.77903698,338.0009925
42,359.2315118,87.66835238,359.2315118
43,384.1025756,96.45614808,384.1025756
44,410.1869052,104.7684685,410.1869052
45,435.6702438,114.2652975,435.6702438
46,461.9480727,124.3305561,461.9480727
47,487.6554877,138.1642144,487.6554877
48,514.1001762,153.9511357,514.1001762
49,538.4677264,173.7813786,538.4677264
50,566.0249157,188.6799521,566.0249157
51,591.7230677,208.7305908,591.7230677
52,617.3766553,228.3969287,617.3766553
53,640.1478035,254.8868475,640.1478035
54,669.4050702,277.3938321,669.4050702
55,696.5696851,300.6264548,696.5696851
56,725.698048,328.9715619,725.698048
57,696.9309833,338.6834659,696.9309833
58,754.4586109,394.4552267,754.4586109
59,772.1810273,412.8919256,772.1810273
60,666.390907,420.1768484,666.390907
61,590.3597656,426.1777818,590.3597656
62,480.261205,395.7856032,480.261205
63,414.5673462,338.5002394,414.5673462
