frame,Use (Freehand 1),Value (Freehand 1),StdDev (Freehand 1)
0,381.3809414,291.6928424,381.3809414
1,366.4414112,262.1222333,366.4414112
2,356.1004654,239.3916584,356.1004654
3,338.6076826,215.9813762,338.6076826
4,316.5109869,190.221041,316.5109869
5,293.68136,163.5843981,293.68136
6,272.1499833,142.0349403,272.1499833
7,253.4091753,123.9302927,253.4091753
8,235.9929297,110.3106815,235.9929297
9,222.2653199,97.62543637,222.2653199
10,208.4051401,87.44820667,208.4051401
11,195.5516182,79.32296168,195.5516182
12,184.4395009,71.57634394,184.4395009
13,175.1271135,63.52789835,175.1271135
14,166.0437722,58.26122847,166.0437722
15,159.45683,53.12492006,159.45683
16,154.3099565,48.94465432,154.3099565
17,149.6996183,46.03965491,149.6996183
18,146.3013263,42.43321117,146.3013263
19,143.2381544,39.58486785,143.2381544
20,141.1412191,36.87409849,141.1412191
21,139.8945921,34.49959432,139.8945921
22,139.0284852,32.92432881,139.0284852
23,139.2969776,31.0562855,139.2969776
24,140.5476344,29.49983402,140.5476344
25,142.8204621,28.70422913,142.8204621
26,147.3206298,26.31580221,147.3206298
27,152.3099673,26.3333572,152.3099673
28,158.293553,25.73542243,158.293553
29,165.5834295,27.27675233,165.5834295
30,174.5878402,28.08420941,174.5878402
31,184.2763515,29.91986675,184.2763515
32,194.7894542,31.56966251,194.7894542
33,205.8994124,35.12275247,205.8994124
34,217.8882799,40.02545093,217.8882799
35,231.439151,44.23307719,231.439151
36,246.4666691,48.17620271,246.4666691
37,263.0183371,51.87762376,263.0183371
38,279.6608338,58.3322965,279.6608338
39,297.9474205,63.60967413,297.9474205
40,317.3069324,69.54785319,317.3069324
41,336.6151254,78.90515299,336.6151254
42,358.2222337,87.01778152,358.2222337
43,381.6230139,94.50093499,381.6230139
44,404.7110875,105.7456904,404.7110875
45,428.3778365,118.5819229,428.3778365
46,452.8649008,131.611847,452.8649008
47,479.1380628,144.1138796,479.1380628
48,504.8121194,158.5938951,504.8121194
49,529.3979899,174.3427689,529.3979899
50,555.5499443,190.5856049,555.5499443
51,583.5772174,209.7558112,583.5772174
52,608.4149503,233.1288098,608.4149503
53,637.497379,251.390773,637.497379
54,665.2918624,274.5400536,665.2918624
55,693.3785306,299.4105972,693.3785306
56,714.417003,335.7427518,714.417003
57,710.1590682,348.5286442,710.1590682
58,758.5342648,395.5761621,758.5342648
59,746.9058403,406.9147761,746.9058403
60,654.21421,408.6648736,654.21421
61,516.2766601,416.3390399,516.2766601
62,407.1127401,354.4970152,407.1127401
63,394.6661247,321.4148226,394.6661247
